timestamp,floor,direction,motor_current,door_time,status
2026-04-04 02:00:48,1,UP,1.47,,MOVING
2026-04-04 02:00:48,1,UP,1.44,1.81,FAULT
2026-04-04 02:00:52,2,UP,2.35,,MOVING
2026-04-04 02:00:53,3,UP,2.55,,MOVING
2026-04-04 02:00:53,3,UP,1.36,1.93,NORMAL
2026-04-04 02:05:24,1,UP,1.1,,MOVING
2026-04-04 02:05:25,2,UP,1.41,,MOVING
2026-04-04 02:05:25,2,UP,1.36,1.84,FAULT
2026-04-04 02:05:29,1,DOWN,1.46,,MOVING
2026-04-04 02:05:29,1,DOWN,1.05,1.85,FAULT
2026-04-04 02:05:39,0,DOWN,1.44,,MOVING
2026-04-04 02:05:39,0,DOWN,1.03,3.46,NORMAL
2026-04-04 02:05:49,1,UP,1.1,,MOVING
2026-04-04 02:05:50,2,UP,1.21,,MOVING
2026-04-04 02:05:51,3,UP,1.27,,MOVING
2026-04-04 02:05:51,3,UP,1.12,3.39,NORMAL
